Posición,Nombre,Puntaje,Tiempo,Fecha,Hora
1,nicolas,2,31.98s,05/06/2025,19:44:02
2,juan,2,32.71s,05/06/2025,19:44:26
3,rodrigo,1,42.07s,05/06/2025,19:44:02
4,lucas,1,42.95s,05/06/2025,19:44:26
